Date,BIP,M1,M2,M3
1995,17927.3,15583338,38672574,45154926
1996,18652.69,16610770,40712371,47550294
1997,19069.85,18055274,42509756,49518397
1998,19814.33,19770648,44785894,52075662
1999,20671.06,22304359,47952809,54531037
2000,21695.89,24123305,50206348,57623275
2001,22653.83,25898229,53671528,62467956
2002,23312.29,27879590,57131028,66872775
2003,23862.55,30884957,61232841,72011390
2004,24755.37,33767047,64917841,76073900
2005,25509.17,38449555,70167289,81894888
2006,26750.83,42656838,76480858,89005123
2007,28091.96,45461038,84292304,98981547
2008,28658.29,46586411,92965428,109144039
2009,27531.94,51504646,97872285,112867083
2010,28239.4,55778761,99824280,111613957
2011,28946.55,56957281,102201280,112870279
2012,28996.71,59395658,105749390,115967660
2013,29241.43,63223237,109705116,118005951
2014,29873.96,67231622,112821544,120249934
2015,30826.2,76084831,119674971,127481497
2016,31591.96,82947846,125758354,133718482
2017,32717.35,89976156,131979295,140041165
2018,33730.92,96488233,137651277,145399471
2019,34755.7,103920679,145276868,152948617
2020,33187.37,116411430,158027911,166286674
2021,35945.11,130168675,171375770,180564278
2022,38760.26,138618973,181906552,191215392
