GDP,Year,M1,GDP Change,Oil_Price,CPI
542.382,1960,140.3,3.97351,1.63,1.457975986
562.21,1961,143.1,3.65563,1.57,1.070724148
603.922,1962,146.5,7.41925,1.52,1.198773348
637.452,1963,151.0,5.55205,1.5,1.239669421
684.462,1964,156.8,7.37468,1.45,1.278911565
742.29,1965,163.4,8.4488,1.42,1.585169264
813.414,1966,171.0,9.58163,1.36,3.015075377
859.956,1967,177.7,5.72187,1.33,2.772785623
940.647,1968,190.1,9.38306,1.32,4.271796153
1017.615,1969,201.4,8.18251,1.27,5.4623862
1073.311,1970,209.1,5.47314,1.21,5.838255338
1164.85,1971,223.1,8.52868,1.7,4.292766688
1279.112,1972,239.0,9.80918,1.82,3.272278247
1425.376,1973,256.3,11.43481,2.7,6.177760064
1545.243,1974,269.1,8.40947,11.0,11.0548048
1684.905,1975,281.3,9.03823,10.43,9.143146865
1873.413,1976,297.2,11.18802,11.6,5.744812635
2081.825,1977,319.9,11.12475,12.5,6.501683995
2351.599,1978,346.2,12.95852,12.79,7.630963839
2627.326,1979,372.6,11.72511,29.19,11.25447113
2857.309,1980,395.7,8.75347,35.52,13.54920197
3207.041,1981,425.0,12.23994,34.0,10.33471534
3343.789,1982,453.0,4.26399,32.38,6.131427
3634.037,1983,503.2,8.68019,29.04,3.212435233
4037.614,1984,538.6,11.10549,28.2,4.300535475
4338.981,1985,587.0,7.46398,27.01,3.545644152
4579.633,1986,666.3,5.54628,13.53,1.898047722
4855.216,1987,743.6,6.0176,17.73,3.664563218
5236.438,1988,774.8,7.8518,14.24,4.077741107
5641.58,1989,782.2,7.73697,17.31,4.82700303
5963.145,1990,810.6,5.69991,22.26,5.39795644
6158.129,1991,859.0,3.26983,18.62,4.234963965
6520.327,1992,965.9,5.88162,18.44,3.028819678
6858.559,1993,1078.4,5.18734,16.33,2.951656966
7287.237,1994,1145.2,6.25026,15.53,2.607441592
7639.749,1995,1143.0,4.8374,16.86,2.805419689
8073.122,1996,1106.8,5.6726,20.29,2.9312042
8577.553,1997,1070.2,6.24827,18.86,2.337689937
9062.817,1998,1080.6,5.65737,12.28,1.552279099
9631.172,1999,1102.3,6.27128,17.44,2.188027197
10250.952,2000,1103.7,6.43515,27.6,3.376857271
10581.929,2001,1140.2,3.22874,23.12,2.826171119
11456.45,2003,1274.1,4.82511,28.1,2.270094973
12217.196,2004,1344.6,6.64033,36.05,2.677236693
13039.197,2005,1372.2,6.72823,50.59,3.392746845
13815.583,2006,1375.2,5.95425,61.0,3.225944101
14474.227,2007,1373.1,4.7674,69.04,2.852672482
14769.862,2008,1434.7,2.04249,94.1,3.839100297
14478.067,2009,1638.1,-1.97561,60.86,-0.355546266
15048.971,2010,1742.6,3.94323,77.38,1.640043442
15599.732,2011,2010.2,3.65979,107.46,3.156841569
16253.97,2012,2315.3,4.19391,109.45,2.069337265
16880.683,2013,2549.6,3.85575,105.87,1.464832656
17608.138,2014,2815.0,4.30939,96.29,1.622222977
18295.019,2015,3021.8,3.90093,49.49,0.118627136
18804.913,2016,3248.6,2.78707,40.76,1.261583206
19612.103,2017,3524.5,4.29244,52.51,2.130110004
20656.516,2018,3680.8,5.32535,69.78,2.442583297
21322.95,2020,12789.4,-0.92208,41.47,1.233584396
23594.031,2021,19370.5,10.65088,69.89,4.697858864
25744.108,2022,20401.6,9.1128,100.08,8.002799821
