GDP,Year,Oil_price,CPI Index,M1,GDP Change
5963.145,1990,23.7066139657444,4.780441527172209,810.6,5.69991
6158.129,1991,20.0753703965117,3.765557202367346,859.0,3.26983
6520.327,1992,19.3582378129117,2.69386753760821,965.9,5.88162
6858.559,1993,17.0847592618734,2.8138595121629586,1078.4,5.18734
7287.237,1994,15.95965804787,2.830596704667721,1145.2,6.25026
7639.749,1995,17.1987480394002,3.151672454127566,1143.0,4.8374
8073.122,1996,20.8085299814919,2.942869004953851,1106.8,5.6726
8577.553,1997,19.3103236322856,2.631351533165389,1070.2,6.24827
9062.817,1998,13.1262191480018,2.7873697304752785,1080.6,5.65737
9631.172,1999,18.1082192813225,2.03548357655315,1102.3,6.27128
10250.952,2000,28.8452749623565,3.029769994155969,1103.7,6.43515
10581.929,2001,24.713762790953,3.266540711647635,1140.2,3.22874
10929.108,2002,25.1150959752808,2.5919181019694126,1196.7,3.28087
11456.45,2003,28.779102719744,1.6805934971576304,1274.1,4.82511
12217.196,2004,38.2335804473305,2.4328971938272157,1344.6,6.64033
13039.197,2005,54.6838476064998,2.7634622413669123,1372.2,6.72823
13815.583,2006,65.6047431065312,3.133004652938091,1375.2,5.95425
14474.227,2007,72.6528058457243,3.058300760271076,1373.1,4.7674
14769.862,2008,97.3301517582659,2.7120122704778837,1434.7,2.04249
14478.067,2009,61.581049571805,1.2665993511182274,1638.1,-1.97561
15048.971,2010,79.8070083443127,0.726424056489047,1742.6,3.94323
15599.732,2011,111.5392264335905,2.3138949317166415,2010.2,3.65979
16253.97,2012,112.0116726974716,2.147853406236979,2315.3,4.19391
16880.683,2013,108.9617254768179,2.1323745417682085,2549.6,3.85575
17608.138,2014,99.3454458011794,2.2373975732025975,2815.0,4.30939
18295.019,2015,53.0227124035385,2.3092748046926292,3021.8,3.90093
18804.913,2016,45.0790762438045,2.5769858504647676,3248.6,2.78707
19612.103,2017,54.8869160863291,2.4395798685594077,3524.5,4.29244
20656.516,2018,71.6125929873267,2.7229059405061102,3680.8,5.32535
21521.395,2019,64.198473986762,2.852851395501936,3845.9,4.18696
21322.95,2020,43.3338428226363,2.386933481936786,12789.4,-0.92208
23594.031,2021,70.8314995843528,3.80914627623733,19370.5,10.65088
25744.108,2022,98.9963275770123,6.8988498262019,20401.6,9.1128
27357.842,2023,82.3212430281072,4.9317687490383095,18542.3,6.26836
